2026-01-18 11:45:55,648 | DEBUG | trace:47 | receive_response_body.started request=<Request [b'GET']>
2026-01-18 11:45:55,648 | DEBUG | trace:47 | receive_response_body.complete
2026-01-18 11:45:55,648 | DEBUG | trace:47 | response_closed.started
2026-01-18 11:45:55,648 | DEBUG | trace:47 | response_closed.complete
2026-01-18 11:45:55,649 | DEBUG | trace:47 | close.started
2026-01-18 11:45:55,650 | DEBUG | trace:47 | close.complete
2026-01-18 11:46:24,231 | DEBUG | callback:627 | Calling on_part_begin with no data
2026-01-18 11:46:24,231 | DEBUG | callback:624 | Calling on_header_field with data[42:61]
2026-01-18 11:46:24,231 | DEBUG | callback:624 | Calling on_header_value with data[63:117]
2026-01-18 11:46:24,231 | DEBUG | callback:627 | Calling on_header_end with no data
2026-01-18 11:46:24,231 | DEBUG | callback:624 | Calling on_header_field with data[119:131]
2026-01-18 11:46:24,231 | DEBUG | callback:624 | Calling on_header_value with data[133:142]
2026-01-18 11:46:24,231 | DEBUG | callback:627 | Calling on_header_end with no data
2026-01-18 11:46:24,231 | DEBUG | callback:627 | Calling on_headers_finished with no data
2026-01-18 11:46:24,232 | DEBUG | callback:624 | Calling on_part_data with data[146:147456]
2026-01-18 11:46:24,235 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,237 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,238 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,239 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,240 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,241 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,242 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,243 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,244 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,245 | DEBUG | callback:624 | Calling on_part_data with data[0:262144]
2026-01-18 11:46:24,246 | DEBUG | callback:624 | Calling on_part_data with data[0:223163]
2026-01-18 11:46:24,246 | DEBUG | callback:627 | Calling on_part_end with no data
2026-01-18 11:46:24,247 | DEBUG | callback:627 | Calling on_end with no data
2026-01-18 11:46:29,190 | DEBUG | wrapper:342 | matplotlib data path: /opt/anaconda3/lib/python3.13/site-packages/matplotlib/mpl-data
2026-01-18 11:46:29,196 | DEBUG | wrapper:342 | CONFIGDIR=/Users/evan/.matplotlib
2026-01-18 11:46:29,196 | DEBUG | <module>:1557 | interactive is False
2026-01-18 11:46:29,196 | DEBUG | <module>:1558 | platform is darwin
2026-01-18 11:46:29,226 | DEBUG | wrapper:342 | CACHEDIR=/Users/evan/.matplotlib
2026-01-18 11:46:29,227 | DEBUG | _load_fontmanager:1635 | Using fontManager instance from /Users/evan/.matplotlib/fontlist-v390.json
2026-01-18 11:46:29,325 | DEBUG | switch_backend:497 | Loaded backend macosx version unknown.
2026-01-18 11:46:29,325 | DEBUG | switch_backend:497 | Loaded backend agg version v2.2.
2026-01-18 11:46:29,326 | DEBUG | call:204 | STREAM b'IHDR' 16 13
2026-01-18 11:46:29,326 | DEBUG | call:204 | STREAM b'iCCP' 41 4764
